id_student,code_module,code_presentation,total_score*weight,attempted_weight,adjusted_mark,mark,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,module_presentation
6516,AAA,2014J,6350.0,100.0,48.05520304567759,31.8,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,AAA_2014J
8462,DDD,2013J,3490.0,40.0,,,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn,DDD_2013J
8462,DDD,2014J,4300.0,50.0,,,M,London Region,HE Qualification,30-40%,55<=,1,60,N,Withdrawn,DDD_2014J
11391,AAA,2013J,8240.0,100.0,64.00697969540855,41.2,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,AAA_2013J
23629,BBB,2013B,1669.0,25.0,13.803680981595091,8.3,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,BBB_2013B
23698,CCC,2014J,10997.0,150.0,73.3,55.0,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction,CCC_2014J
23798,BBB,2013J,8924.0,100.0,90.34076015726464,44.6,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,BBB_2013J
24186,GGG,2014B,4000.0,66.7,40.30139593908601,20.0,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass,GGG_2014B
24213,DDD,2014B,13640.0,200.0,68.2,68.2,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Distinction,DDD_2014B
24391,GGG,2013J,8000.0,100.0,77.86369593708685,40.0,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,GGG_2013J
24734,AAA,2014J,4750.0,100.0,41.44670050761283,23.8,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,AAA_2014J
25107,BBB,2013B,6051.0,100.0,46.15164974618702,30.3,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,BBB_2013B
25150,EEE,2014B,8272.0,100.0,64.42893401012896,41.4,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass,EEE_2014B
25261,CCC,2014J,156.0,2.0,,,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,CCC_2014J
25572,DDD,2014J,700.0,15.0,,,F,London Region,HE Qualification,10-20,0-35,2,150,N,Withdrawn,DDD_2014J
25997,BBB,2014B,1414.0,19.0,,,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn,BBB_2014B
26023,GGG,2013J,6400.0,100.0,48.299492385778876,32.0,M,North Western Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,GGG_2013J
26192,AAA,2014J,8630.0,100.0,85.11140235910189,43.2,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,AAA_2014J
26211,FFF,2014B,7950.0,100.0,61.71002538068993,39.8,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass,FFF_2014B
26247,FFF,2013J,1100.0,12.5,9.348159509202453,5.5,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,FFF_2013J
26315,BBB,2014J,6380.0,100.0,48.17576142131199,31.9,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,BBB_2014J
26734,BBB,2014J,1850.0,30.0,15.414110429447852,9.2,M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Fail,BBB_2014J
27116,CCC,2014J,14002.0,150.0,93.3,70.0,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction,CCC_2014J
27189,FFF,2014B,3800.0,100.0,25.084355828220858,19.0,F,South Region,Lower Than A Level,10-20,35-55,0,120,N,Fail,FFF_2014B
27417,DDD,2013J,2235.0,60.0,,,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,DDD_2013J
27417,DDD,2014J,2805.0,50.0,,,M,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn,DDD_2014J
27683,FFF,2014B,7100.0,100.0,53.791243654809165,35.5,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,FFF_2014B
27759,BBB,2013J,6113.0,100.0,35.5521472392638,30.6,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,BBB_2013J
27780,EEE,2014B,4260.0,72.0,40.62182741116692,21.3,M,Wales,A Level or Equivalent,10-20,0-35,0,150,N,Pass,EEE_2014B
27891,BBB,2013B,2781.0,44.0,,,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,BBB_2013B
27891,BBB,2014B,2781.0,44.0,20.552147239263803,13.9,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail,BBB_2014B
27935,DDD,2013J,4497.5,60.0,28.773006134969325,22.5,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,DDD_2013J
28046,DDD,2013J,8990.0,200.0,45.0,45.0,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,N,Distinction,DDD_2013J
28061,AAA,2014J,7740.0,100.0,59.68274111673247,38.7,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,AAA_2014J
28400,AAA,2013J,6540.0,100.0,49.33058375633627,32.7,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,AAA_2013J
